2281664.347,3.827,-9.084,0.872,0.019,-0.029,0.004,0
2281664.357,3.8,-9.083,0.865,0.02,-0.032,0.003,0
2281664.367,3.8,-9.076,0.876,0.018,-0.031,0.003,0
2281664.377,3.796,-9.082,0.878,0.016,-0.031,0.001,0
2281664.387,3.798,-9.087,0.878,0.015,-0.026,-0.002,0
2281664.397,3.763,-9.103,0.894,0.015,-0.024,-0.003,0
2281664.407,3.738,-9.103,0.887,0.015,-0.014,-0.004,0
2281664.417,3.698,-9.095,0.896,0.016,-0.007,-0.004,0
2281664.427,3.688,-9.13,0.922,0.014,-0.003,-0.004,0
2281664.437,3.702,-9.139,0.947,0.016,-0.001,-0.004,0
2281664.447,3.705,-9.148,0.957,0.021,0.004,-0.004,0
2281664.457,3.711,-9.139,0.934,0.028,0.01,-0.003,0
2281664.467,3.715,-9.13,0.9,0.036,0.015,-0.003,0
2281664.477,3.728,-9.158,0.861,0.04,0.021,-0.002,0
2281664.487,3.757,-9.186,0.846,0.042,0.034,-0.002,0
2281664.497,3.824,-9.25,0.828,0.043,0.044,-0.002,0
2281664.507,3.876,-9.286,0.808,0.046,0.077,-0.002,0
2281664.517,3.864,-9.23,0.77,0.047,0.095,-0.004,0
2281664.527,3.796,-9.128,0.726,0.044,0.103,-0.004,0
2281664.537,3.739,-9.075,0.688,0.035,0.103,-0.015,0
2281664.548,3.733,-9.088,0.693,0.026,0.103,-0.016,0
2281664.557,3.799,-9.121,0.718,0.018,0.104,-0.016,0
2281664.567,3.865,-9.147,0.714,0.012,0.108,-0.013,0
2281664.587,3.856,-9.13,0.714,-0.002,0.097,-0.019,0
2281664.597,3.816,-9.093,0.692,-0.008,0.092,-0.022,0
2281664.608,3.593,-8.8,0.642,-0.015,0.091,-0.026,0
2281664.617,3.593,-8.8,0.642,-0.027,0.089,-0.037,0
2281664.627,3.467,-8.704,0.637,-0.04,0.083,-0.046,0
2281664.637,3.418,-8.818,0.735,-0.059,0.074,-0.051,0
2281664.647,3.508,-9.041,0.846,-0.073,0.065,-0.054,0
2281664.657,3.561,-9.259,0.931,-0.08,0.068,-0.054,0
2281664.667,3.538,-9.464,0.975,-0.076,0.087,-0.054,0
2281664.688,3.274,-9.448,0.964,-0.043,0.159,-0.052,0
2281664.697,3.191,-9.388,0.933,-0.023,0.194,-0.045,0
2281664.707,3.169,-9.349,0.912,-0.007,0.216,-0.04,0
2281664.717,3.173,-9.364,0.897,0.004,0.214,-0.028,0
2281664.727,3.171,-9.415,0.872,0.004,0.192,-0.022,0
2281664.737,3.14,-9.413,0.865,0.001,0.166,-0.014,0
2281664.747,3.126,-9.309,0.916,-0.005,0.144,0.001,0
2281664.757,3.206,-9.204,0.979,0.001,0.13,0.02,0
2281664.767,3.347,-9.17,1.055,0.018,0.117,0.033,0
2281664.777,3.453,-9.156,1.089,0.048,0.105,0.042,0
2281664.787,3.524,-9.174,1.075,0.081,0.093,0.05,0
2281664.797,3.615,-9.132,1.021,0.112,0.079,0.058,0
2281664.807,3.757,-9.069,0.962,0.138,0.064,0.065,0
2281664.817,3.909,-9.031,0.942,0.158,0.032,0.071,0
2281664.827,4.071,-8.978,0.929,0.184,-0.006,0.072,0
2281664.837,4.186,-8.89,0.887,0.199,-0.062,0.065,0
2281664.847,4.205,-8.76,0.839,0.217,-0.086,0.053,0
2281664.857,4.11,-8.591,0.693,0.235,-0.084,0.034,0
2281664.867,4.014,-8.605,0.583,0.254,-0.062,0.01,0
2281664.877,3.872,-8.669,0.47,0.274,-0.015,-0.015,0
2281664.887,3.646,-8.752,0.328,0.285,0.049,-0.04,0
2281664.897,3.367,-8.737,0.209,0.288,0.115,-0.06,0
2281664.907,3.141,-8.711,0.116,0.277,0.181,-0.073,0
2281664.918,2.955,-8.777,0.095,0.255,0.246,-0.079,0
2281664.927,2.854,-9.042,0.052,0.215,0.341,-0.086,0
2281664.938,2.882,-9.414,0.062,0.175,0.384,-0.085,0
2281664.947,3.009,-9.821,0.143,0.122,0.397,-0.079,0
2281664.958,3.141,-10.081,0.278,0.06,0.384,-0.081,0
2281664.967,3.109,-10.12,0.411,0.003,0.351,-0.098,0
2281664.978,2.789,-9.792,0.51,-0.039,0.322,-0.124,0
2281664.997,2.57,-9.017,0.792,-0.064,0.323,-0.115,0
